"date","value","country_code","indicator_code"
1960-12-31,0,"BHR","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"BGR","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"AFG","EN_ATM_CO2E_GF_KT"
1960-12-31,-3.667,"CHE","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"COD","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"CUB","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"CYM","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"DJI","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"DMA","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"DNK","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"DOM","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"EGY","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"ESP","EN_ATM_CO2E_GF_KT"
1960-12-31,5691.184,"FRA","EN_ATM_CO2E_GF_KT"
1960-12-31,150.347,"GBR","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"GHA","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"KHM","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"KNA","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"LCA","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"LKA","EN_ATM_CO2E_GF_KT"
1960-12-31,18.335,"MAR","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"MDG","EN_ATM_CO2E_GF_KT"
1960-12-31,6384.247,"MEX","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"MLI","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"MLT","EN_ATM_CO2E_GF_KT"
1960-12-31,40.337,"MMR","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"MNG","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"MOZ","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"MRT","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"MUS","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"NCL","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"NER","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"NGA","EN_ATM_CO2E_GF_KT"
1960-12-31,0,"NIC","EN_ATM_CO2E_GF_KT"
