"date","value","country_code","indicator_code"
1950-12-31,344.416,"DOM","EN_ATM_CO2E_KT"
1950-12-31,3902.16,"DZA","EN_ATM_CO2E_KT"
1950-12-31,98303.5287564,"EAP","EN_ATM_CO2E_KT"
1950-12-31,10237.216,"EGY","EN_ATM_CO2E_KT"
1950-12-31,87.936,"ETH","EN_ATM_CO2E_KT"
1950-12-31,1680656.0374561,"EUU","EN_ATM_CO2E_KT"
1950-12-31,6547.568,"FIN","EN_ATM_CO2E_KT"
1950-12-31,120.912,"FJI","EN_ATM_CO2E_KT"
1950-12-31,267.472,"SLV","EN_ATM_CO2E_KT"
1950-12-31,10233.552,"CHE","EN_ATM_CO2E_KT"
1950-12-31,4322125.6303678,"HIC","EN_ATM_CO2E_KT"
1950-12-31,1319.04,"HKG","EN_ATM_CO2E_KT"
1950-12-31,908.672,"KEN","EN_ATM_CO2E_KT"
1950-12-31,300.448,"HND","EN_ATM_CO2E_KT"
1950-12-31,498.304,"BOL","EN_ATM_CO2E_KT"
1950-12-31,19664.688,"BRA","EN_ATM_CO2E_KT"
1950-12-31,28663.472,"SWE","EN_ATM_CO2E_KT"
1950-12-31,10.992,"GNQ","EN_ATM_CO2E_KT"
1950-12-31,296.784,"ALB","EN_ATM_CO2E_KT"
1950-12-31,154144.48,"CAN","EN_ATM_CO2E_KT"
1950-12-31,1480.256,"COD","EN_ATM_CO2E_KT"
1950-12-31,102.592,"CPV","EN_ATM_CO2E_KT"
1950-12-31,780.432,"PRK","EN_ATM_CO2E_KT"
1950-12-31,2183.744,"KOR","EN_ATM_CO2E_KT"
1950-12-31,802.416,"MMR","EN_ATM_CO2E_KT"
1950-12-31,27593.150051804,"MNA","EN_ATM_CO2E_KT"
1950-12-31,285.792,"MNG","EN_ATM_CO2E_KT"
1950-12-31,901.344,"MOZ","EN_ATM_CO2E_KT"
1950-12-31,267.472,"CYP","EN_ATM_CO2E_KT"
1950-12-31,201.52,"MUS","EN_ATM_CO2E_KT"
1950-12-31,740.128,"ECU","EN_ATM_CO2E_KT"
1950-12-31,84.272,"AFG","EN_ATM_CO2E_KT"
1950-12-31,219.84,"NCL","EN_ATM_CO2E_KT"
1950-12-31,2257.024,"NGA","EN_ATM_CO2E_KT"
1950-12-31,194.192,"NIC","EN_ATM_CO2E_KT"
1950-12-31,51285.008,"NLD","EN_ATM_CO2E_KT"
1950-12-31,8434.528,"NOR","EN_ATM_CO2E_KT"
1950-12-31,25.648,"NPL","EN_ATM_CO2E_KT"
1950-12-31,8570.096,"NZL","EN_ATM_CO2E_KT"
1950-12-31,4530685.53401,"OED","EN_ATM_CO2E_KT"
1950-12-31,6349.712,"PAK","EN_ATM_CO2E_KT"
1950-12-31,516.624,"PAN","EN_ATM_CO2E_KT"
1950-12-31,4543.36,"PER","EN_ATM_CO2E_KT"
1950-12-31,47.632,"LBR","EN_ATM_CO2E_KT"
1950-12-31,142.896,"LBY","EN_ATM_CO2E_KT"
1950-12-31,119057.68305164,"LIC","EN_ATM_CO2E_KT"
1950-12-31,255868.93854857,"LMC","EN_ATM_CO2E_KT"
1950-12-31,1103185.4086408,"LMY","EN_ATM_CO2E_KT"
1950-12-31,7419.6,"LUX","EN_ATM_CO2E_KT"
1950-12-31,3722.624,"PHL","EN_ATM_CO2E_KT"
1950-12-31,33045.616,"ESP","EN_ATM_CO2E_KT"
1950-12-31,202307.76,"FRA","EN_ATM_CO2E_KT"
1950-12-31,40.304,"FRO","EN_ATM_CO2E_KT"
1950-12-31,113.584,"HTI","EN_ATM_CO2E_KT"
1950-12-31,500440.112,"GBR","EN_ATM_CO2E_KT"
1950-12-31,14.656,"GMB","EN_ATM_CO2E_KT"
1950-12-31,3.664,"LCA","EN_ATM_CO2E_KT"
1950-12-31,0,"MAC","EN_ATM_CO2E_KT"
1950-12-31,7.328,"GNB","EN_ATM_CO2E_KT"
1950-12-31,4129.328,"GRC","EN_ATM_CO2E_KT"
1950-12-31,7.328,"GRD","EN_ATM_CO2E_KT"
1950-12-31,1626.816,"LKA","EN_ATM_CO2E_KT"
