"date","value","country_code","indicator_code"
1960-12-31,0,"WSM","EN_ATM_CO2E_SF_KT"
1960-12-31,7.334,"MUS","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"MRT","EN_ATM_CO2E_SF_KT"
1960-12-31,1338.455,"MOZ","EN_ATM_CO2E_SF_KT"
1960-12-31,799.406,"MNG","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"JOR","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"JAM","EN_ATM_CO2E_SF_KT"
1960-12-31,27905.87,"ITA","EN_ATM_CO2E_SF_KT"
1960-12-31,121.011,"ISR","EN_ATM_CO2E_SF_KT"
1960-12-31,58.672,"ISL","EN_ATM_CO2E_SF_KT"
1960-12-31,7.334,"IRQ","EN_ATM_CO2E_SF_KT"
1960-12-31,612.389,"IRN","EN_ATM_CO2E_SF_KT"
1960-12-31,7601.691,"IRL","EN_ATM_CO2E_SF_KT"
1960-12-31,97208.503,"IND","EN_ATM_CO2E_SF_KT"
1960-12-31,1822.499,"IDN","EN_ATM_CO2E_SF_KT"
1960-12-31,36519.653,"HUN","EN_ATM_CO2E_SF_KT"
1960-12-31,67960.511,"BEL","EN_ATM_CO2E_SF_KT"
1960-12-31,18063.642,"AUT","EN_ATM_CO2E_SF_KT"
1960-12-31,58976.361,"AUS","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"ATG","EN_ATM_CO2E_SF_KT"
1960-12-31,124.678,"AGO","EN_ATM_CO2E_SF_KT"
1960-12-31,128.345,"AFG","EN_ATM_CO2E_SF_KT"
1960-12-31,4249.4409025872,"MNA","EN_ATM_CO2E_SF_KT"
1960-12-31,938.752,"MMR","EN_ATM_CO2E_SF_KT"
1960-12-31,7.334,"MLT","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"MLI","EN_ATM_CO2E_SF_KT"
1960-12-31,1457951.02536962,"MIC","EN_ATM_CO2E_SF_KT"
1960-12-31,3494.651,"MEX","EN_ATM_CO2E_SF_KT"
1960-12-31,47.671,"MDG","EN_ATM_CO2E_SF_KT"
1960-12-31,876.413,"MAR","EN_ATM_CO2E_SF_KT"
1960-12-31,689.396,"LKA","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"LCA","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"KNA","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"KHM","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"GNQ","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"GMB","EN_ATM_CO2E_SF_KT"
1960-12-31,448419.095,"GBR","EN_ATM_CO2E_SF_KT"
1960-12-31,180988.452,"FRA","EN_ATM_CO2E_SF_KT"
1960-12-31,31822.226,"ESP","EN_ATM_CO2E_SF_KT"
1960-12-31,414.371,"EGY","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"ECU","EN_ATM_CO2E_SF_KT"
1960-12-31,1002205.55344208,"EAS","EN_ATM_CO2E_SF_KT"
1960-12-31,1257.781,"DZA","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"CPV","EN_ATM_CO2E_SF_KT"
1960-12-31,3.667,"CMR","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"CIV","EN_ATM_CO2E_SF_KT"
1960-12-31,6882.959,"CHE","EN_ATM_CO2E_SF_KT"
1960-12-31,49676.849,"CAN","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"CAF","EN_ATM_CO2E_SF_KT"
1960-12-31,3.667,"BRB","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"BMU","EN_ATM_CO2E_SF_KT"
1960-12-31,3909.022,"ARG","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"ARE","EN_ATM_CO2E_SF_KT"
1960-12-31,326.363,"ALB","EN_ATM_CO2E_SF_KT"
1960-12-31,14.668,"MAC","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"GAB","EN_ATM_CO2E_SF_KT"
1960-12-31,3.667,"FRO","EN_ATM_CO2E_SF_KT"
1960-12-31,18.335,"FJI","EN_ATM_CO2E_SF_KT"
1960-12-31,7267.994,"FIN","EN_ATM_CO2E_SF_KT"
1960-12-31,10762.645,"LUX","EN_ATM_CO2E_SF_KT"
1960-12-31,1490281.83822223,"LMY","EN_ATM_CO2E_SF_KT"
1960-12-31,211549.651198565,"LMC","EN_ATM_CO2E_SF_KT"
1960-12-31,88.008,"LBY","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"LBR","EN_ATM_CO2E_SF_KT"
1960-12-31,25.669,"ETH","EN_ATM_CO2E_SF_KT"
1960-12-31,776356.710142029,"EAP","EN_ATM_CO2E_SF_KT"
1960-12-31,3.667,"DOM","EN_ATM_CO2E_SF_KT"
1960-12-31,14888.02,"DNK","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"DMA","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"DJI","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"CYP","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"CYM","EN_ATM_CO2E_SF_KT"
1960-12-31,5148390.993,"WLD","EN_ATM_CO2E_SF_KT"
1960-12-31,5493.166,"VNM","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"VCT","EN_ATM_CO2E_SF_KT"
1960-12-31,918715.512,"USA","EN_ATM_CO2E_SF_KT"
1960-12-31,172.349,"URY","EN_ATM_CO2E_SF_KT"
1960-12-31,1220624.80689482,"UMC","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"UGA","EN_ATM_CO2E_SF_KT"
1960-12-31,11331.03,"TUR","EN_ATM_CO2E_SF_KT"
1960-12-31,113.677,"TUN","EN_ATM_CO2E_SF_KT"
1960-12-31,3.667,"TTO","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"TON","EN_ATM_CO2E_SF_KT"
1960-12-31,146.68,"THA","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"TGO","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"TCD","EN_ATM_CO2E_SF_KT"
1960-12-31,11.001,"SYR","EN_ATM_CO2E_SF_KT"
1960-12-31,33.003,"SWZ","EN_ATM_CO2E_SF_KT"
1960-12-31,22079.007,"PRK","EN_ATM_CO2E_SF_KT"
1960-12-31,10245.598,"KOR","EN_ATM_CO2E_SF_KT"
1960-12-31,113.677,"KEN","EN_ATM_CO2E_SF_KT"
1960-12-31,139257.992,"JPN","EN_ATM_CO2E_SF_KT"
1960-12-31,25782.935035397,"LCN","EN_ATM_CO2E_SF_KT"
1960-12-31,11.001,"LBN","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"LAO","EN_ATM_CO2E_SF_KT"
1960-12-31,20422.6549322508,"LAC","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"KWT","EN_ATM_CO2E_SF_KT"
1960-12-31,113.677,"CUB","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"CRI","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"COM","EN_ATM_CO2E_SF_KT"
1960-12-31,6684.941,"COL","EN_ATM_CO2E_SF_KT"
1960-12-31,0,"COG","EN_ATM_CO2E_SF_KT"
1960-12-31,165.015,"GHA","EN_ATM_CO2E_SF_KT"
1960-12-31,1041.428,"COD","EN_ATM_CO2E_SF_KT"
1960-12-31,748988.417,"CHN","EN_ATM_CO2E_SF_KT"
1960-12-31,4514.077,"CHL","EN_ATM_CO2E_SF_KT"
