"date","value","country_code","indicator_code"
1960-12-31,0,"SYR","IT_NET_USER_P2"
1960-12-31,0,"BWA","IT_NET_USER_P2"
1960-12-31,0,"MDV","IT_NET_USER_P2"
1960-12-31,0,"THA","IT_NET_USER_P2"
1960-12-31,0,"TGO","IT_NET_USER_P2"
1960-12-31,0,"GRD","IT_NET_USER_P2"
1960-12-31,0,"BDI","IT_NET_USER_P2"
1965-12-31,0,"MDV","IT_NET_USER_P2"
1965-12-31,0,"SYR","IT_NET_USER_P2"
1965-12-31,0,"TGO","IT_NET_USER_P2"
1965-12-31,0,"GRD","IT_NET_USER_P2"
1965-12-31,0,"THA","IT_NET_USER_P2"
1965-12-31,0,"BDI","IT_NET_USER_P2"
1965-12-31,0,"BWA","IT_NET_USER_P2"
1970-12-31,0,"GRD","IT_NET_USER_P2"
1970-12-31,0,"MDV","IT_NET_USER_P2"
1970-12-31,0,"BWA","IT_NET_USER_P2"
1970-12-31,0,"SYR","IT_NET_USER_P2"
1970-12-31,0,"TGO","IT_NET_USER_P2"
1970-12-31,0,"THA","IT_NET_USER_P2"
1970-12-31,0,"BDI","IT_NET_USER_P2"
1975-12-31,0,"MDV","IT_NET_USER_P2"
1975-12-31,0,"BDI","IT_NET_USER_P2"
1975-12-31,0,"SYR","IT_NET_USER_P2"
1975-12-31,0,"BWA","IT_NET_USER_P2"
1975-12-31,0,"THA","IT_NET_USER_P2"
1975-12-31,0,"TGO","IT_NET_USER_P2"
1975-12-31,0,"GRD","IT_NET_USER_P2"
1976-12-31,0,"SYR","IT_NET_USER_P2"
1976-12-31,0,"MDV","IT_NET_USER_P2"
1976-12-31,0,"BDI","IT_NET_USER_P2"
1976-12-31,0,"TGO","IT_NET_USER_P2"
1976-12-31,0,"BWA","IT_NET_USER_P2"
1976-12-31,0,"THA","IT_NET_USER_P2"
1976-12-31,0,"GRD","IT_NET_USER_P2"
1977-12-31,0,"MDV","IT_NET_USER_P2"
1977-12-31,0,"BWA","IT_NET_USER_P2"
1977-12-31,0,"GRD","IT_NET_USER_P2"
1977-12-31,0,"THA","IT_NET_USER_P2"
1977-12-31,0,"TGO","IT_NET_USER_P2"
1977-12-31,0,"SYR","IT_NET_USER_P2"
1977-12-31,0,"BDI","IT_NET_USER_P2"
1978-12-31,0,"MDV","IT_NET_USER_P2"
1978-12-31,0,"SYR","IT_NET_USER_P2"
1978-12-31,0,"TGO","IT_NET_USER_P2"
1978-12-31,0,"THA","IT_NET_USER_P2"
1978-12-31,0,"GRD","IT_NET_USER_P2"
1978-12-31,0,"BWA","IT_NET_USER_P2"
1978-12-31,0,"BDI","IT_NET_USER_P2"
1979-12-31,0,"THA","IT_NET_USER_P2"
1979-12-31,0,"BDI","IT_NET_USER_P2"
1979-12-31,0,"GRD","IT_NET_USER_P2"
1979-12-31,0,"BWA","IT_NET_USER_P2"
1979-12-31,0,"MDV","IT_NET_USER_P2"
1979-12-31,0,"SYR","IT_NET_USER_P2"
1979-12-31,0,"TGO","IT_NET_USER_P2"
1980-12-31,0,"THA","IT_NET_USER_P2"
1980-12-31,0,"BWA","IT_NET_USER_P2"
1980-12-31,0,"MDV","IT_NET_USER_P2"
1980-12-31,0,"SYR","IT_NET_USER_P2"
1980-12-31,0,"TGO","IT_NET_USER_P2"
1980-12-31,0,"BDI","IT_NET_USER_P2"
1980-12-31,0,"GRD","IT_NET_USER_P2"
1981-12-31,0,"GRD","IT_NET_USER_P2"
1981-12-31,0,"BWA","IT_NET_USER_P2"
1981-12-31,0,"BDI","IT_NET_USER_P2"
1981-12-31,0,"THA","IT_NET_USER_P2"
1981-12-31,0,"TGO","IT_NET_USER_P2"
1981-12-31,0,"SYR","IT_NET_USER_P2"
1981-12-31,0,"MDV","IT_NET_USER_P2"
1982-12-31,0,"BWA","IT_NET_USER_P2"
1982-12-31,0,"BDI","IT_NET_USER_P2"
1982-12-31,0,"GRD","IT_NET_USER_P2"
1982-12-31,0,"THA","IT_NET_USER_P2"
1982-12-31,0,"TGO","IT_NET_USER_P2"
1982-12-31,0,"SYR","IT_NET_USER_P2"
1982-12-31,0,"MDV","IT_NET_USER_P2"
1983-12-31,0,"MDV","IT_NET_USER_P2"
1983-12-31,0,"SYR","IT_NET_USER_P2"
1983-12-31,0,"BWA","IT_NET_USER_P2"
1983-12-31,0,"THA","IT_NET_USER_P2"
1983-12-31,0,"TGO","IT_NET_USER_P2"
1983-12-31,0,"GRD","IT_NET_USER_P2"
1983-12-31,0,"BDI","IT_NET_USER_P2"
1984-12-31,0,"BDI","IT_NET_USER_P2"
1984-12-31,0,"GRD","IT_NET_USER_P2"
1984-12-31,0,"MDV","IT_NET_USER_P2"
1984-12-31,0,"SYR","IT_NET_USER_P2"
1984-12-31,0,"TGO","IT_NET_USER_P2"
1984-12-31,0,"THA","IT_NET_USER_P2"
1984-12-31,0,"BWA","IT_NET_USER_P2"
1985-12-31,0,"SYR","IT_NET_USER_P2"
1985-12-31,0,"MDV","IT_NET_USER_P2"
1985-12-31,0,"GRD","IT_NET_USER_P2"
1985-12-31,0,"BDI","IT_NET_USER_P2"
1985-12-31,0,"BWA","IT_NET_USER_P2"
1985-12-31,0,"THA","IT_NET_USER_P2"
1985-12-31,0,"TGO","IT_NET_USER_P2"
1986-12-31,0,"SYR","IT_NET_USER_P2"
1986-12-31,0,"BWA","IT_NET_USER_P2"
1986-12-31,0,"BDI","IT_NET_USER_P2"
1986-12-31,0,"GRD","IT_NET_USER_P2"
1986-12-31,0,"THA","IT_NET_USER_P2"
1986-12-31,0,"TGO","IT_NET_USER_P2"
1986-12-31,0,"MDV","IT_NET_USER_P2"
1987-12-31,0,"BDI","IT_NET_USER_P2"
1987-12-31,0,"MDV","IT_NET_USER_P2"
1987-12-31,0,"SYR","IT_NET_USER_P2"
1987-12-31,0,"TGO","IT_NET_USER_P2"
1987-12-31,0,"THA","IT_NET_USER_P2"
1987-12-31,0,"GRD","IT_NET_USER_P2"
1987-12-31,0,"BWA","IT_NET_USER_P2"
1988-12-31,0,"SYR","IT_NET_USER_P2"
1988-12-31,0,"THA","IT_NET_USER_P2"
1988-12-31,0,"BDI","IT_NET_USER_P2"
1988-12-31,0,"GRD","IT_NET_USER_P2"
1988-12-31,0,"BWA","IT_NET_USER_P2"
1988-12-31,0,"MDV","IT_NET_USER_P2"
1988-12-31,0,"TGO","IT_NET_USER_P2"
1989-12-31,0,"BWA","IT_NET_USER_P2"
1989-12-31,0,"BDI","IT_NET_USER_P2"
1989-12-31,0,"GRD","IT_NET_USER_P2"
1989-12-31,0,"MDV","IT_NET_USER_P2"
1989-12-31,0,"NPL","IT_NET_USER_P2"
1989-12-31,0,"SYR","IT_NET_USER_P2"
1989-12-31,0,"TGO","IT_NET_USER_P2"
1989-12-31,0,"THA","IT_NET_USER_P2"
1990-12-31,0,"KEN","IT_NET_USER_P2"
1990-12-31,0,"GHA","IT_NET_USER_P2"
1990-12-31,0,"BRA","IT_NET_USER_P2"
1990-12-31,0.097277267644978,"DNK","IT_NET_USER_P2"
1990-12-31,0,"AFG","IT_NET_USER_P2"
1990-12-31,0,"SLV","IT_NET_USER_P2"
1990-12-31,0,"UGA","IT_NET_USER_P2"
1990-12-31,0,"CSS","IT_NET_USER_P2"
1990-12-31,0,"CUB","IT_NET_USER_P2"
1990-12-31,0,"CYP","IT_NET_USER_P2"
1990-12-31,0,"CZE","IT_NET_USER_P2"
1990-12-31,0,"DOM","IT_NET_USER_P2"
1990-12-31,0,"DZA","IT_NET_USER_P2"
1990-12-31,0.007288276368857,"EAS","IT_NET_USER_P2"
1990-12-31,0.048105578777489,"ECS","IT_NET_USER_P2"
1990-12-31,0.072756713841492,"EMU","IT_NET_USER_P2"
1990-12-31,0,"EST","IT_NET_USER_P2"
1990-12-31,0.40108766954226,"FIN","IT_NET_USER_P2"
1990-12-31,0,"FJI","IT_NET_USER_P2"
1990-12-31,0.052777861587067,"FRA","IT_NET_USER_P2"
1990-12-31,0,"GAB","IT_NET_USER_P2"
1990-12-31,0,"GMB","IT_NET_USER_P2"
